date,sampling_role,matched_pair_id,matched_date,divergence
20250605,matched_low_control,M0346,20250529,0.93
20250610,matched_low_control,M0347,20250530,-0.1
20250613,matched_low_control,M0349,20250604,-1.28
20250619,matched_low_control,M0351,20250611,0.18
20250620,matched_low_control,M0352,20250612,0.88
20250630,matched_low_control,M0313,20250616,1.3
20250707,matched_low_control,M0319,20250708,-0.9
20250714,matched_low_control,M0302,20251226,0.8
20250716,matched_low_control,M0304,20251230,1.39
20250717,matched_low_control,M0303,20251229,-0.75
20250718,matched_low_control,M0321,20250710,1.17
20250721,matched_low_control,M0320,20250709,-0.59
20250728,matched_low_control,M0359,20250724,-0.5
20250729,matched_low_control,M0360,20250725,-0.84
20250730,matched_low_control,M0371,20250930,-1.14
20250731,matched_low_control,M0364,20250910,-0.57
20250804,matched_low_control,M0322,20250711,-0.08
20250805,matched_low_control,M0323,20250715,0.48
20250806,matched_low_control,M0324,20250801,-0.56
20250807,matched_low_control,M0331,20250926,-0.05
20250808,matched_low_control,M0333,20251010,0.02
20250811,matched_low_control,M0335,20251014,-1.66
20250812,matched_low_control,M0317,20250627,-1.01
20250813,matched_low_control,M0332,20251002,-0.76
20250814,matched_low_control,M0334,20251013,-0.14
20250818,matched_low_control,M0318,20250704,-1.36
20250820,matched_low_control,M0315,20250624,0.16
20250827,matched_low_control,M0330,20250828,-0.42
20250829,matched_low_control,M0328,20250825,-0.57
20250901,matched_low_control,M0354,20250623,1.58
20250903,matched_low_control,M0362,20250904,-0.46
20250908,matched_low_control,M0363,20250909,-0.62
20250915,matched_low_control,M0365,20250911,0.93
20250917,matched_low_control,M0368,20250919,1.11
20250922,matched_low_control,M0366,20250912,0.06
20250923,matched_low_control,M0367,20250916,-0.49
20250924,matched_low_control,M0369,20250925,-0.25
20251001,matched_low_control,M0370,20250929,-1.27
20251015,matched_low_control,M0301,20251222,1.38
20251016,matched_low_control,M0278,20251017,-0.79
20251021,matched_low_control,M0279,20251020,-1.04
20251022,matched_low_control,M0283,20251031,0.49
20251023,matched_low_control,M0288,20251112,-1.55
20251024,matched_low_control,M0281,20251028,0.99
20251030,matched_low_control,M0280,20251027,0.5
20251103,matched_low_control,M0282,20251029,-1.6
20251106,matched_low_control,M0284,20251104,1.57
20251110,matched_low_control,M0285,20251105,-0.28
20251113,matched_low_control,M0286,20251107,1.07
20251118,matched_low_control,M0277,20250430,-1.29
20251119,matched_low_control,M0291,20251120,1.14
20251126,matched_low_control,M0293,20251125,-0.73
20251201,matched_low_control,M0300,20251218,-0.07
20251202,matched_low_control,M0292,20251124,-1.33
20251203,matched_low_control,M0290,20251117,1.66
20251208,matched_low_control,M0289,20251114,0.93
20251211,matched_low_control,M0297,20251210,-1.56
20251212,matched_low_control,M0287,20251111,-0.84
20251216,matched_low_control,M0294,20251204,0.14
20251219,matched_low_control,M0296,20251209,0.85
20251223,matched_low_control,M0295,20251205,-0.65
20251224,matched_low_control,M0298,20251215,1.26
20260106,matched_low_control,M0416,20260105,-0.25
20260108,matched_low_control,M0415,20260102,-1.57
20260109,matched_low_control,M0417,20260107,1.52
20260112,matched_low_control,M0424,20260130,-1.34
20260113,matched_low_control,M0429,20260210,1.17
20260114,matched_low_control,M0418,20260115,1.59
20260120,matched_low_control,M0419,20260116,0.67
20260121,matched_low_control,M0420,20260119,1.09
20260123,matched_low_control,M0421,20260122,-1.74
20260127,matched_low_control,M0422,20260126,-1.03
20260128,matched_low_control,M0423,20260129,1.65
20260203,matched_low_control,M0425,20260202,-0.77
20260205,matched_low_control,M0426,20260204,0.05
20260211,matched_low_control,M0427,20260206,-0.27
20260213,matched_low_control,M0428,20260209,-1.25
20260219,matched_low_control,M0430,20260212,-0.1
20260223,matched_low_control,M0390,20260220,-0.2
20260224,matched_low_control,M0391,20260225,0.91
20260227,matched_low_control,M0392,20260226,-1.66
20260303,matched_low_control,M0393,20260304,1.2
20260305,matched_low_control,M0372,20260310,1.24
20260306,matched_low_control,M0409,20260608,-0.56
20260309,matched_low_control,M0384,20260706,1.21
20260311,matched_low_control,M0389,20260727,0.24
20260312,matched_low_control,M0410,20260616,0.57
20260313,matched_low_control,M0411,20260619,-1.54
20260316,matched_low_control,M0373,20260317,-1.52
20260318,matched_low_control,M0380,20260629,-1.22
20260319,matched_low_control,M0381,20260630,0.92
20260320,matched_low_control,M0382,20260701,0.08
20260323,matched_low_control,M0438,20260513,-1.3
20260324,matched_low_control,M0388,20260723,1.35
20260325,matched_low_control,M0387,20260721,0.8
20260327,matched_low_control,M0412,20260622,-1.37
